Match Date,Home Team,Away Team,Kickoff Temp,Kickoff Humidity
2016-08-26,Real Salt Lake,Colorado Rapids,,
2016-08-27,D.C. United,Chicago Fire,,
2016-08-27,Philadelphia Union,Sporting Kansas City,,
2016-08-27,Columbus Crew SC,San Jose Earthquakes,,
2016-08-27,Toronto FC,Montreal Impact,,
2016-08-27,Houston Dynamo,FC Dallas,,
2016-08-27,LA Galaxy,Vancouver Whitecaps FC,,
2016-08-28,New York Red Bulls,New England Revolution,,
2016-08-28,Portland Timbers,Seattle Sounders FC,,
2016-08-28,Orlando City SC,New York City FC,,
2016-09-01,New York City FC,D.C. United,,
2016-09-03,Vancouver Whitecaps FC,New York Red Bulls,,
2016-09-03,New England Revolution,Colorado Rapids,,
2016-09-03,Chicago Fire,Philadelphia Union,,
2016-09-03,FC Dallas,Portland Timbers,,
2016-09-03,LA Galaxy,Columbus Crew SC,,
2016-09-07,Montreal Impact,Orlando City SC,,
2016-09-07,Real Salt Lake,LA Galaxy,,
2016-09-09,Sporting Kansas City,Houston Dynamo,,
2016-09-10,Columbus Crew SC,Vancouver Whitecaps FC,,
2016-09-10,Philadelphia Union,Montreal Impact,,
2016-09-10,New England Revolution,New York City FC,,
2016-09-10,Chicago Fire,Toronto FC,,
2016-09-10,FC Dallas,Colorado Rapids,,
2016-09-10,San Jose Earthquakes,Seattle Sounders FC,,
2016-09-10,Portland Timbers,Real Salt Lake,,
2016-09-11,New York Red Bulls,D.C. United,,
2016-09-11,LA Galaxy,Orlando City SC,,
2016-09-16,Chicago Fire,D.C. United,,
2016-09-17,Seattle Sounders FC,Vancouver Whitecaps FC,,
2016-09-17,Portland Timbers,Philadelphia Union,,
2016-09-17,New York City FC,FC Dallas,,
2016-09-17,Orlando City SC,Columbus Crew SC,,
2016-09-17,Montreal Impact,New England Revolution,,
2016-09-17,Colorado Rapids,San Jose Earthquakes,,
2016-09-17,Real Salt Lake,Houston Dynamo,,
2016-09-18,Sporting Kansas City,LA Galaxy,,
2016-09-18,Toronto FC,New York Red Bulls,,
2016-09-23,New York City FC,Chicago Fire,,
2016-09-24,Toronto FC,Philadelphia Union,,
2016-09-24,D.C. United,Orlando City SC,,
2016-09-24,Vancouver Whitecaps FC,Colorado Rapids,,
2016-09-24,New York Red Bulls,Montreal Impact,,
2016-09-24,Houston Dynamo,Portland Timbers,,
2016-09-24,Real Salt Lake,FC Dallas,,
2016-09-24,San Jose Earthquakes,Sporting Kansas City,,
2016-09-25,LA Galaxy,Seattle Sounders FC,,
2016-09-25,Columbus Crew SC,New England Revolution,,
2016-09-28,D.C. United,Columbus Crew SC,,
2016-09-28,Montreal Impact,San Jose Earthquakes,,
2016-09-28,Toronto FC,Orlando City SC,,
2016-09-28,Seattle Sounders FC,Chicago Fire,,
2016-09-30,Houston Dynamo,New York City FC,,
2016-10-01,New York Red Bulls,Philadelphia Union,,
2016-10-01,Columbus Crew SC,Chicago Fire,,
2016-10-01,Toronto FC,D.C. United,,
2016-10-01,New England Revolution,Sporting Kansas City,,
2016-10-01,FC Dallas,LA Galaxy,,
2016-10-01,Colorado Rapids,Portland Timbers,,
2016-10-01,San Jose Earthquakes,Real Salt Lake,,
2016-10-02,Orlando City SC,Montreal Impact,,
2016-10-02,Vancouver Whitecaps FC,Seattle Sounders FC,,
2016-10-08,Houston Dynamo,Colorado Rapids,,
2016-10-12,Seattle Sounders FC,Houston Dynamo,,
2016-10-13,Chicago Fire,Columbus Crew SC,,
2016-10-13,Colorado Rapids,San Jose Earthquakes,,
2016-10-16,D.C. United,New York City FC,,
2016-10-16,New York Red Bulls,Columbus Crew SC,,
2016-10-16,Chicago Fire,New England Revolution,,
2016-10-16,Montreal Impact,Toronto FC,,
2016-10-16,Philadelphia Union,Orlando City SC,,
2016-10-16,FC Dallas,Seattle Sounders FC,,
2016-10-16,Houston Dynamo,LA Galaxy,,
2016-10-16,Real Salt Lake,Sporting Kansas City,,
2016-10-16,San Jose Earthquakes,Vancouver Whitecaps FC,,
2016-10-16,Portland Timbers,Colorado Rapids,,
2016-10-23,Sporting Kansas City,San Jose Earthquakes,,
2016-10-23,Toronto FC,Chicago Fire,,
2016-10-23,Vancouver Whitecaps FC,Portland Timbers,,
2016-10-23,LA Galaxy,FC Dallas,,
2016-10-23,Orlando City SC,D.C. United,,
2016-10-23,New England Revolution,Montreal Impact,,
2016-10-23,Seattle Sounders FC,Real Salt Lake,,
2016-10-23,Philadelphia Union,New York Red Bulls,,
2016-10-23,Colorado Rapids,Houston Dynamo,,
2016-10-23,New York City FC,Columbus Crew SC,,
