Matchday,Home Team,Away Team,Kickoff Temp,Kickoff Humidity
28,Huracán,Unión,,
28,Newell's Old Boys,Lanús,,
28,Estudiantes (LP),Belgrano,,
28,Arsenal,Godoy Cruz,,
28,Atlético de Rafaela,Quilmes,,
28,Patronato,Tigre,,
28,Vélez Sarsfield,Sarmiento,,
28,Defensa y Justicia,Atlético Tucumán,,
28,San Martín (SJ),Temperley,,
28,Talleres (C),Gimnasia y Esgrima (LP),,
28,Banfield,Rosario Central,,
28,Colón,San Lorenzo,,
28,River Plate,Racing Club,,
29,River Plate,Aldosivi,,
29,Racing Club,Colón,,
29,San Lorenzo,Banfield,,
29,Rosario Central,Talleres (C),,
29,Gimnasia y Esgrima (LP),San Martín (SJ),,
29,Temperley,Defensa y Justicia,,
29,Atlético Tucumán,Vélez Sarsfield,,
29,Sarmiento,Patronato,,
29,Tigre,Atlético de Rafaela,,
29,Quilmes,Arsenal,,
29,Godoy Cruz,Estudiantes (LP),,
29,Belgrano,Newell's Old Boys,,
29,Lanús,Huracán,,
29,Unión,Independiente,,
29,Olimpo,Boca Juniors,,
30,Aldosivi,Olimpo,,
30,Boca Juniors,Unión,,
30,Independiente,Lanús,,
30,Huracán,Belgrano,,
30,Newell's Old Boys,Godoy Cruz,,
30,Estudiantes (LP),Quilmes,,
30,Arsenal,Tigre,,
30,Atlético de Rafaela,Sarmiento,,
30,Patronato,Atlético Tucumán,,
30,Vélez Sarsfield,Temperley,,
30,Defensa y Justicia,Gimnasia y Esgrima (LP),,
30,San Martín (SJ),Rosario Central,,
30,Talleres (C),San Lorenzo,,
30,Banfield,Racing Club,,
30,Colón,River Plate,,
